Size_sqft,Bedrooms,Bathrooms,Location,YearBuilt,Price
2772.0,3.0,3,Suburb,1979,824385.0
2322.0,1.0,2,Suburb,2019,532161.0
2879.0,2.0,3,City,1999,827644.0
3499.0,3.0,1,City,1965,715882.0
2254.0,1.0,3,City,1995,884737.0
2254.0,2.0,1,Suburb,2024,566413.0
3539.0,5.0,2,Suburb,1970,629252.0
2964.0,3.0,1,City,2008,625219.0
2087.0,5.0,3,City,1987,536797.0
2804.0,4.0,3,Suburb,1981,951324.0
2091.0,2.0,3,City,2006,558853.0
2089.0,2.0,3,City,1984,527862.0
2591.0,3.0,2,City,1991,875249.0
1063.0,2.0,1,Suburb,1976,774985.0
1197.0,4.0,3,Suburb,1999,635144.0
2021.0,2.0,1,Suburb,1989,392204.0
1702.0,1.0,2,Suburb,2018,913513.0
2642.0,5.0,1,Suburb,1987,947415.0
1776.0,4.0,3,Suburb,2006,752199.0
1419.0,4.0,1,Suburb,1982,739097.0
3458.0,5.0,3,Suburb,2016,692862.0
2260.0,5.0,3,Suburb,1960,600179.0
2467.0,4.0,2,City,1988,839864.0
1410.0,5.0,2,City,2009,606936.0
2034.0,3.0,1,City,2023,744525.0
2498.0,5.0,1,City,1996,694866.0
1604.0,1.0,3,Suburb,2020,661256.0
2686.0,1.0,3,City,1966,538395.0
1994.0,3.0,3,City,2023,488319.0
2213.0,5.0,3,City,1977,735256.0
1993.0,1.0,2,Suburb,1988,599877.0
3732.0,2.0,3,City,2019,684102.0
2410.0,5.0,2,City,2013,692278.0
1670.0,3.0,1,City,1980,708231.0
3003.0,5.0,1,Suburb,1980,645451.0
1554.0,4.0,2,City,2017,757749.0
2568.0,4.0,3,Suburb,2008,651033.0
1031.0,1.0,1,Suburb,1995,627862.0
1478.0,4.0,2,City,1976,770957.0
2559.0,3.0,1,Suburb,2012,666882.0
2943.0,1.0,3,Suburb,1974,696929.0
2541.0,3.0,2,City,1999,801224.0
2338.0,3.0,1,Suburb,2010,724684.0
2206.0,4.0,3,City,2024,799191.0
1372.0,4.0,2,City,1972,431890.0
1909.0,3.0,2,City,1997,1049317.0
2093.0,4.0,2,Suburb,1985,768299.0
3169.0,4.0,2,City,1974,750507.0
2663.0,4.0,1,City,1964,642811.0
1170.0,5.0,2,City,1961,443737.0
2649.0,3.0,2,Suburb,2024,768026.0
2147.0,2.0,2,City,2019,825088.0
1940.0,3.0,2,Suburb,2015,413739.0
2853.0,1.0,2,Suburb,1997,792464.0
3150.0,4.0,3,City,2016,888662.0
3080.0,4.0,1,Suburb,2010,882775.0
1825.0,2.0,3,City,2000,740628.0
2200.0,1.0,1,Suburb,2011,651582.0
2654.0,5.0,2,City,1960,801529.0
3111.0,3.0,1,City,1977,723473.0
2080.0,5.0,2,Suburb,1986,716275.0
2288.0,1.0,2,City,2001,585970.0
1635.0,2.0,3,City,1965,427192.0
1572.0,1.0,3,Suburb,1983,788263.0
2996.0,2.0,3,Suburb,2004,615564.0
3381.0,5.0,1,Suburb,1966,519716.0
2369.0,5.0,1,Suburb,1975,500413.0
3131.0,1.0,3,Suburb,2017,636451.0
2676.0,1.0,3,City,2016,484225.0
1962.0,4.0,2,City,2001,820640.0
2676.0,2.0,1,City,1973,742138.0
3510.0,4.0,2,Suburb,2015,826281.0
2394.0,3.0,1,Suburb,1971,512306.0
3529.0,3.0,3,City,1974,459006.0
563.0,1.0,1,Suburb,1967,919796.0
3002.0,5.0,1,City,2017,545975.0
